Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,25/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.19114661,-41.09865025,-5.708269453,8.012920544,8.538542212,6.63186556,4.188979575,8.322090806,4.412252849,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648,4.010645933,3.606369078,0.646135943,8.024397049,5.769882149,8.2086495,-6.704049318,6.254220067,13.02541852
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.376760783,0.958704603,0.238921013,-3.394752379,2.67197034,-1.800450002,-3.257941095,1.245264257,0.992450746,-3.231910641,-1.21950184,3.279021642,4.854442301,0.113644342,-5.135339886,4.874061125,1.831713966,7.64030128,0.648377683,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,4.03962554,7.611353493,7.694707614,3.516597441,-0.321429721,5.078891653,10.24252673,8.163412201,12.07273088,7.221195293,5.823352673,5.824549585,3.512719107,1.685236976,-0.445128902,3.4008518,4.707692263,-6.21372328,4.46620012,3.368633335,2.777121573,1.952957112,4.457311286,-6.000792503,-0.255113806,4.880932309,4.606741223,5.236709085,11.27865894,7.821253426,-1.497593577,-13.29886801,-9.089174819,-3.12748111,2.258654934,-1.525263424,2.936152523,3.011461458,4.770737128,2.516390846,6.232667482,3.787887426,-17.98917356,5.92050158,7.829470706
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.463670522,-1.147699708,4.198486307,4.901197227,3.923739909,0.06802009,4.971515944,3.256266533,4.828379609,5.085013218,0.54414958,2.017708909,1.062445221,1.5048677,0.096320643,1.565295527,2.434208753,-0.273326316,2.931671595,1.787267616,1.73808252,1.54890362,-3.553486395,3.343577359,3.885135104,2.473224565,1.010994341,4.04107228,2.131740423,2.054793811,-1.644753047,-0.689506015,3.125986342,2.984297795,2.736499286,2.603790281,2.794518342,3.575818587,3.81438537,2.71882937,0.739613358,2.817325413,1.932212851,3.108286755,1.905683368,1.363514029,1.901150677,1.5135102,-0.20740929,0.628836598,0.978468035,2.10380811,0.828325558,1.060337085,0.693065823,1.13842434,0.604963408,1.348282752,0.665151145,-1.278358059,2.105711229,2.457502628
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,5.950496618,4.646942731,5.592381531,4.310905781,3.765373032,-0.099030082,4.763369869,5.039647613,-0.129830488,5.536447933,1.731377792,-0.398620518,1.938121505,3.13962808,0.057573093,2.450565671,2.236402355,1.293045279,3.149746508,3.420101785,3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,1.92771306,1.066969706,-6.841544703,4.102317176,3.989868963
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.012383104,-23.76120216,-24.25686416,-20.77555855,-12.81342944,0.28021389,4.784282352,8.960886763,6.461584076,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099,1.475936941,-0.103121365,-4.17717168,-0.778416126,0.624486168,1.635850481,-4.952701739,5.151500069,4.233364908
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-15.8701576,6.36524614,1.990095806,3.291863681,1.135990958,2.148048239,11.00195769,-2.614791149,-3.532314832,18.77954909,0.330633087,-6.328783605,7.120848924,-3.129500277,-1.697838278,5.641818047,8.729453857,-3.686737537,-0.743761011,-3.116110978,7.719722199,-3.451393023,0.989196177,-2.238831128,9.393995728,1.331646653,3.1290065,2.758384458,-0.571550672,1.42189607,2.913068415,-1.597561735,-3.069248456,-4.36690134,-13.29592729,-7.964692393,-1.479610111,2.815176025,-3.329950483,-2.86056588,-0.439187877,1.568534631,-4.274588198,1.010882046,-2.764880494,1.706713839,-0.277700517,0.637154646,-1.327694607,0.318221818,0.41151196,0.824080966,1.263599334,0.810602801,-5.980495612,-2.20613383,-1.772646486,-1.377139622,-1.457193033,-2.508461168,0.38116664,-0.824628147
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.478790451,3.79648857,4.88408824,6.047488699,4.236777496,-2.248829646,5.464140019,0.501978717,2.74598979,2.249127516,4.329008275,-0.276653455,0.62232907,0.319812264,2.467921562,1.621518975,1.786469656,2.219478116,4.39079501,3.093999126,2.830267975,1.455371726,1.11956586,-1.34799971,2.909318769,2.170550274,1.123669018,3.542789064,1.744323895,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.330652227,1.710374927,-5.769592438,5.787660737,2.571040719
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.567326573,-4.993676617,2.952292991,4.762979389,3.36090141,1.614799973,-0.879979557,1.785008812,0.794771018,-0.005256119,-3.568023486,4.132663276,1.425605247,1.026157544,-7.074781783,-1.495413472,2.434154265,-1.263765676,3.810781027,3.953561799,6.951778616,-0.609693402,-7.033840201,4.87416509,4.452942663,-0.788228017,-4.386547403,0.348282456,-5.742503605,5.712445594,1.082571177,-0.14985962,1.228883488,-1.720724529,3.885942391,1.678298827,2.702447716,0.84800005,2.169593733,2.689647379,2.207364924,1.548959248,0.372024802,1.316512038,-1.467813821,0.811410157,2.982053319,1.849625069,-0.648436891,-0.839355824,-0.007428192,1.800064493,4.127606235,3.290504999,-1.181684836,0.335852248,2.603550233,3.624268216,3.824507565,0.951937861,4.238708959,3.420679455
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.552273052,4.584353889,-2.733075016,0.722415694,2.118573214,-1.089843815,7.03057027,1.33130746,0.294221708,-1.594259073,-0.294598743,0.593348565,-1.292782802,6.299980301,0.979790815,6.26161822,-1.926009085,2.044067922,1.020612249,-1.864124866,1.463499881,6.598062604,-2.443634765,-4.570083431,5.420509778,4.948095392,-2.923144419,3.002567428,-0.508371835,-3.173227944,6.348168294,-2.205514145,0.921974042,-1.206820025,3.041040495,8.214114979,3.622726386,4.398136185,4.299232007,-1.106850828,3.420372815,1.193156955,4.507163311,1.250803724,5.293432973,2.986692134,1.001302627,2.731085634,-0.012474271,5.305144555,3.502706594,3.273591496,2.657295331,1.263996385,0.877785605,2.893498327,3.203256836,3.693513328,2.868728152,-0.773847474,4.110140346,-1.085587186
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.019801659,2.338669316,-3.405413917,7.668926369,-1.391020978,-0.437251747,-4.781817458,6.25388242,-1.65479154,3.00061464,-6.632846648,-15.17765876,0.714228599,6.88326498,-6.338391778,3.337678291,0.363427679,4.571541474,2.369812015,-1.609286099,4.464474801,-0.634262574,1.039844812,2.014701336,0.730590409,1.721851265,1.481432356,0.223515735,0.674980729,3.400369596,1.500470719,3.519728548,2.729706135,1.9167073,3.177185503,2.706249817,2.638487151,3.222149859,2.684717105,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968205,5.388330716,5.939181515,5.076730248,4.124685807,4.373484667,5.174520875,5.20499112,4.678721918,4.747779227,5.291060808,5.803210398,5.266455113,6.080237769,6.687654398,2.271109279,5.716649087,5.954844841
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294164,3.172520882,3.154807366,2.684953395,4.235241268,5.898612494,10.82009085,-2.151690705,-7.463207654,-7.534068849,-6.271263865,-0.691213558,2.164358868,3.314187592,5.749368903,-13.59092295,4.484025658,-7.881073101,5.10505562,5.911159599,8.195215514,6.074062384,7.317405526,7.865500223,7.616849629,7.37801683,6.863490701,-2.646640961,2.212431063,2.758011774,1.340217109,-0.00242338,1.542387921,4.090107686,3.765068555,3.515538335,3.42891057,4.773056073,-3.380400724,8.515249594,9.958463513
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-9.038253124,-10.76844038,2.761484804,1.385525437,-8.081834962,-2.372826542,6.525762553,3.287046313,-3.048395983,0.992712757,7.49120497,3.023473723,9.076230444,-3.52857225,0.593021768,0.848609082,-0.048396791,1.69827355,1.339020825,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883,0.413894139,-1.352381521,0.06723301,0.913957633,0.016786109,1.698724144,-3.565598605,3.666329656,4.222105997
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.405126233,5.127225789,5.246125139,5.608079921,5.802707709,4.4055418,4.835840026,3.66500901,4.383165726,-9.012213021,-1.297178496,-5.918306557,5.132387065,-18.52381258,-16.53929731,3.033976045,6.85397272,11.79945257,23.60416185,4.436312215,-10.90046583,4.759101621,1.66642452,12.00291653,2.796405764,-0.179242552,1.045033564,0.410835213,4.700864057,-3.481588741,-6.04880613,-5.843050602,-1.847236076,1.102406217,2.442431009,2.385033542,5.070879768,-6.086230946,10.49006117,2.629682064,1.1892679,1.359063337,-2.573648591,-0.469561177,1.993583704,1.104087361,0.027989689,-3.704404799,-5.545775183,0.119788587,-0.631937739,1.977657978,-3.767283671,0.936220395,0.079669848,-0.894538414,1.634018139,0.804149057,-1.394387494,-23.86836277,16.57311705,13.78928204
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18015808,81.35516538,29.74152353,13.70910001,8.598349351,12.05488255,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129,2.47075228,5.698303515,4.527613112,4.473386407,5.045838146,4.09411575,-1.778703887,8.949991429,5.099057811
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245567019,-9.798383809,-7.803769961,-11.59557512,-10.1088528,3.146686066,11.8639522,8.889364506,3.866378654,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669105131,-3.957343643,-2.611299318,2.644247088,3.37043437,1.651118196,-0.251386576,3.290821506,-3.725826822
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.258698707,2.241655825,2.117593133,1.997584087,1.86183459,1.645035812,1.759448485,4.17496151,2.15277401,2.415160105,2.113202622,8.488183008,3.839808994,12.01930585,1.86549858,-2.033774928,4.375780649,5.784653639,5.32609203,10.84956914,-1.334680696,-2.496725483,-4.428238587,-0.369728067,-1.28356216,2.191569446,8.281355909,7.378017598,10.55671961,9.066681722,9.137893136,9.778566256,4.115190339,-1.943300411,-1.901187531,-1.998032421,0.111778475,0.32739479,5.288195129,9.39899286,1.784486467,1.874493966,6.013910049,1.504839261,-0.807645036,1.559296811,0.340204416,-4.257774011,-3.145662282,-1.238076017,-2.358493725,1.54089716,2.215709713,1.830444324,1.203028528,-1.91523472,-3.631144448,-0.847617048,2.614217232,-14.68046614,13.74926997,10.6786901
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.149274724,2.003969956,-1.260754717,8.383374234,2.250778443,12.34545455,11.0966736,0.178748759,1.520936741,4.37934159,4.195283883,2.564073979,2.238205024,1.632827387,4.551271532,8.529004076,5.500816286,1.074229338,1.768239125,6.226141897,1.674235544,-5.966959638,1.131648138,-0.396562991,-2.821585921,5.766965249,2.912453111,3.168090119,-0.399432874,-0.798461538,-3.035881339,0.666851964,2.457765924,-0.095697515,3.654763146,1.946947479,3.963724659,3.139627286,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.5028993,0.317253011,-6.811709487,3.222222158,3.302972204
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.006128822,3.409601074,4.589285698,1.796105713,2.720118301,4.9131592,4.059722795,6.205674927,2.218637942,2.945554813,2.764669005,5.59054938,3.40007594,0.649968718,4.925063968,2.289045727,2.631401583,-0.220741448,-2.084218351,-3.533238559,-1.894807976,-5.993135352,-6.072428329,-2.296700007,-3.735115386,-4.610740654,0.318505713,0.752142046,1.623456369,2.467411575,3.105994961,-0.408970621,2.195240038,2.637063079,2.705928464,2.429446093,3.042141914,3.136997548,-1.383429233,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424,3.783187059,3.220538823,2.663074214,2.623303336,2.684797339,0.737697155,-9.952404845,4.846972461,1.850510107
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.374303544,3.482729076,-2.315871662,0.449644185,-0.456900052,3.810395918,1.465603109,7.001720507,6.772837836,7.685540345,8.641356195,9.254398627,11.25050803,5.606682803,2.715858847,7.695060336,2.490663546,2.518506258,4.272242164,6.662997479,-6.452870866,-1.450934075,-5.088346394,3.108082048,5.567836511,5.288389972,1.478596667,-1.978044868,1.243611572,-6.065555669,-0.700696276,-2.179979806,3.242563272,4.182955815,2.608090006,0.656502163,1.855343025,-1.124442426,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-3.918004172,4.435352819,2.42870176
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,-2.391909427,3.826978435,3.100878314,4.31455167,7.326464445,3.862261409,-2.32692083,-5.257315368,0.163121005,3.288701952,0.850502846,4.917446798,2.478322959,3.462182037,3.601201118,-3.348307001,-4.097736643,-5.986085477,0.490683001,1.731308336,1.784148274,3.782604152,4.568602084,3.564005148,0.134115254,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.740724577,1.694449723,0.200454089,-5.418778446,-2.692141229,-0.967165211,-0.688990257,-1.685187442,-0.313377482,2.255206921,2.324756803,0.262708848,-1.204427376,-0.306518356,-13.46945599,-0.36923033,9.829096122
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,-3.000551647,16.21655343,7.342598985,3.372118331,18.6723813,-9.951293919,-22.3785608,0.572610113,-2.836750063,-2.754827235,-4.789040983,-5.973315365,-1.379702463,-2.200972031,-4.228006455,-2.039423774,0.114170788,1.905263673,-2.266164915,0.593746994,1.976921959,0.49313578,-3.679156013,-2.713190453,0.88016699,0.730069451,0.687036971,1.864685729,0.990882746,-1.284601231,-1.3250511,2.692052121,-1.416167647,-3.423745709,-3.209963091,1.111479826,2.336315197,-0.359754944,-3.330844835,-3.667518932,-1.522384232,-3.521143982,0.320205439,-0.868860057,2.974226152,0.291718917,-2.396821442,-2.423407698
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,11.52768585,0.267815094,7.081517523,1.413943761,0.944785891,8.128880274,25.3197208,1.791989212,4.365363757,7.569785613,-2.033740668,8.771178133,6.902424404,4.866537368,5.800275948,3.609396628,3.568167575,3.960161884,5.36526756,0.500693009,5.470289332,8.156908908,5.176425964,3.502987055,5.130903788,5.420472436,16.91019932,3.565242325,5.533319776,10.70222196,6.799598004,3.979385564,1.035010357,4.703729522,5.649806271,7.191508662,3.771571241,2.247154987,5.016153346,-10.59763139,3.420910614,
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.003501515,4.275542293,3.487743864,4.318025261,4.201472512,5.626247146,5.216593957,9.820903691,14.32247731,16.03122107,23.34379311,21.83219727,15.64725606,3.398092908,3.029226615,5.09006102,6.384287621,8.622043754,6.612578106,6.608397372,4.163000029,7.751094989,9.124415032,4.748067813,3.406051458,4.452477207,8.114089373,15.57545418,9.550464735,3.604755604,4.414555356,0.011375016,-0.98101181,0.78266012,4.250703953,3.252230017,5.838418563,-1.761220848,7.342426783,-0.104457891,-1.73773223,4.107829816,2.80852064,0.925705688,2.693878237,6.347004907,3.73406781,1.176918832,-15.89055769,7.875871132,4.717165863,-2.070174126,9.005663889,3.681668068,-6.699965199,5.048819755,1.970658915,2.083064062,1.042018782,-10.40331706,10.05423154,4.098346998
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.073628195,-5.489663793,-2.591561405,0.081195653,-1.09831775,-1.46961391,2.399258518,-0.87505202,4.640777068,0.063976895,-0.971128274,-1.969123886,-0.073388582,4.278075387,-1.556665495,3.867095417,2.755827766,0.186473125,-3.459611626,-5.465263729,-2.582419102,6.553564446,-9.137708622,8.247836064,2.724866186,2.352986702,-6.100649492,0.116285559,-0.526163893,-5.112200333,-3.600803372,-9.354066288,-2.828887557,1.652169655,4.29285448,-6.47928499,2.410459241,1.855412677,0.757392208,-5.182200264,2.138855273,1.352775362,-7.657345914,3.720591047,-1.338182594,2.684667344,2.665865061,-0.03993708,6.272393967,2.485984851,2.610234803,4.145158394,-36.77769716,0.158111559,3.891158828,2.938099239,2.590923501,1.792220305,0.833009811,-1.624775579,-1.210279564,-2.186536142
